"BLOCK_ID","STRIPE_ID","SOURCE_FILE","SOURCE_SIZE","SOURCE_MTIME","FAST_FILE","FAST_SIZE","NROWS","NCOLS","NVALUES","STATUS"
"BLOCK_004",144,"reverse_00144.tif",2635600,"2026-08-23 11:51:41","reverse_00144.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",145,"reverse_00145.tif",2621408,"2026-08-23 11:51:43","reverse_00145.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",146,"reverse_00146.tif",2621226,"2026-08-23 11:51:46","reverse_00146.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",147,"reverse_00147.tif",2598956,"2026-08-23 11:51:48","reverse_00147.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",148,"reverse_00148.tif",2592624,"2026-08-23 11:51:51","reverse_00148.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",149,"reverse_00149.tif",2577812,"2026-08-23 11:51:53","reverse_00149.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",150,"reverse_00150.tif",2568442,"2026-08-23 11:51:56","reverse_00150.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",151,"reverse_00151.tif",2562282,"2026-08-23 11:51:59","reverse_00151.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",152,"reverse_00152.tif",2556182,"2026-08-23 11:52:01","reverse_00152.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",153,"reverse_00153.tif",2533788,"2026-08-23 11:52:04","reverse_00153.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",154,"reverse_00154.tif",2514760,"2026-08-23 11:52:07","reverse_00154.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",155,"reverse_00155.tif",2436138,"2026-08-23 11:52:09","reverse_00155.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",156,"reverse_00156.tif",2303986,"2026-08-23 11:52:12","reverse_00156.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",157,"reverse_00157.tif",2283418,"2026-08-23 11:52:15","reverse_00157.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",158,"reverse_00158.tif",2279958,"2026-08-23 11:52:18","reverse_00158.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",159,"reverse_00159.tif",2253808,"2026-08-23 11:52:20","reverse_00159.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",160,"reverse_00160.tif",2231848,"2026-08-23 11:52:23","reverse_00160.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",161,"reverse_00161.tif",2207502,"2026-08-23 11:52:25","reverse_00161.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",162,"reverse_00162.tif",2211876,"2026-08-23 11:52:28","reverse_00162.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",163,"reverse_00163.tif",2212618,"2026-08-23 11:52:30","reverse_00163.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",164,"reverse_00164.tif",2207472,"2026-08-23 11:52:32","reverse_00164.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",165,"reverse_00165.tif",2194502,"2026-08-23 11:52:35","reverse_00165.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",166,"reverse_00166.tif",2190756,"2026-08-23 11:52:38","reverse_00166.rds",11980944,256,46800,11980800,"REUSED"
